
Tinglyst	Boligtype	Andelsnummer	Pris
22.12.2021	Blokkleilighet	141	3 600 000,−
08.11.2021	Blokkleilighet	166	3 600 000,−
03.11.2021	Blokkleilighet	133	3 480 000,−
31.08.2021	Blokkleilighet	65	3 300 000,−
11.08.2021	Blokkleilighet	64	3 350 000,−
16.07.2021	Blokkleilighet	148	3 550 000,−
05.07.2021	Blokkleilighet	92	3 210 000,−
09.06.2021	Blokkleilighet	165	2 460 000,−
07.06.2021	Blokkleilighet	132	2 350 000,−
01.06.2021	Blokkleilighet	124	3 980 000,−
30.05.2021	Blokkleilighet	152	3 630 000,−
02.05.2021	Blokkleilighet	147	3 600 000,−
19.04.2021	Blokkleilighet	32	3 250 000,−
22.02.2021	Blokkleilighet	119	3 080 000,−
04.02.2021	Blokkleilighet	127	3 125 000,−
04.02.2021	Blokkleilighet	140	3 850 000,−
07.12.2020	Blokkleilighet	151	3 175 000,−
16.11.2020	Blokkleilighet	129	3 150 000,−
12.11.2020	Blokkleilighet	271	3 100 000,−
02.11.2020	Blokkleilighet	160	3 300 000,−
25.09.2020	Blokkleilighet	86	3 050 000,−
06.08.2020	Blokkleilighet	118	3 190 000,−
06.05.2020	Blokkleilighet	90	3 040 000,−
05.05.2020	Blokkleilighet	122	2 950 000,−
22.04.2020	Uoppgitt	63	2 900 000,−
01.04.2020	Blokkleilighet	95	3 250 000,−
31.03.2020	Blokkleilighet	37	3 300 000,−
04.11.2019	Blokkleilighet	136	2 950 000,−
15.08.2019	Blokkleilighet	161	3 250 000,−
08.08.2019	Blokkleilighet	154	2 650 000,−
06.08.2019	Blokkleilighet	142	3 100 000,−
15.07.2019	Blokkleilighet	150	2 900 000,−
03.07.2019	Blokkleilighet	145	2 900 000,−
21.05.2019	Blokkleilighet	35	3 000 000,−
05.03.2019	Blokkleilighet	168	2 950 000,−
04.03.2019	Blokkleilighet	30	3 070 000,−
27.02.2019	Blokkleilighet	38	2 700 000,−
19.12.2018	Blokkleilighet	148	2 900 000,−
06.11.2018	Blokkleilighet	57	2 750 000,−
06.11.2018	Blokkleilighet	149	3 030 000,−
08.10.2018	Blokkleilighet	166	3 100 000,−
01.10.2018	Blokkleilighet	115	2 990 000,−
06.09.2018	Blokkleilighet	153	3 200 000,−
17.08.2018	Blokkleilighet	62	2 820 000,−
20.07.2018	Blokkleilighet	36	2 790 000,−
20.06.2018	Blokkleilighet	92	2 400 000,−
15.05.2018	Blokkleilighet	135	3 250 000,−
03.04.2018	Blokkleilighet	96	2 850 000,−
03.04.2018	Blokkleilighet	87	2 600 000,−
11.01.2018	Uoppgitt	58	2 850 000,−
17.07.2017	Blokkleilighet	143	2 850 000,−
06.07.2017	Blokkleilighet	147	3 110 000,−
05.07.2017	Blokkleilighet	116	3 200 000,−
26.06.2017	Uoppgitt	142	2 950 000,−
06.06.2017	Blokkleilighet	63	3 080 000,−
08.03.2017	Blokkleilighet	137	3 300 000,−
03.03.2017	Blokkleilighet	128	3 560 000,−
15.12.2016	Blokkleilighet	127	3 600 000,−
03.11.2016	Blokkleilighet	93	3 280 000,−
04.08.2016	Blokkleilighet	30	2 600 000,−
12.07.2016	Blokkleilighet	152	2 800 000,−
22.06.2016	Uoppgitt	115	2 710 000,−
29.03.2016	Uoppgitt	37	2 850 000,−
21.12.2015	Blokkleilighet	131	2 500 000,−
18.12.2015	Uoppgitt	144	2 200 000,−
11.11.2015	Blokkleilighet	63	1 620 000,−
05.10.2015	Blokkleilighet	58	2 400 000,−
18.09.2015	Blokkleilighet	158	2 500 000,−
03.08.2015	Blokkleilighet	36	2 350 000,−
